.hack infection part 1|SLES-52237
.hack infection part 1 [regular demo]|SLUS-29042
.hack infection part 1 [trade demo]|SLUS-28023
.hack mutation part 2|SLES-52467
.hack mutation part 2 [regular demo]|SLUS-29055
.hack mutation part 2 [trade demo]|SLUS-28032
.hack outbreak part 3|SCAJ-20004
.hack outbreak part 3 [demo]|SLUS-29065
.hack quarantine part 4|SCAJ-20024
.hack quarantine part 4 [demo]|SLUS-29084
.hack vol.1×vol.2 [playstation2 the best] [vol.1 disc]|SLPS-73230
.hack vol.1×vol.2 [playstation2 the best] [vol.2 disc]|SLPS-73231
.hack vol.3×vol.4 [playstation2 the best] [vol.3 disc]|SLPS-73232
.hack vol.3×vol.4 [playstation2 the best] [vol.4 disc]|SLPS-73233
.hack//frägment [先行リリース版]|SLPM-68521
.hack//frägment オンライン / オフライン|SLPS-25527
.hack//g.u. vol.1 - rebirth|SLUS-21258
.hack//g.u. vol.1 - rebirth [demo]|SLUS-29199
.hack//g.u. vol.1 再誕|SLPS-25651
.hack//g.u. vol.1 再誕 [playstation2 the best]|SLPS-73259
.hack//g.u. vol.1 再誕 [terminal disc - the end of the world]|SLPS-25652
.hack//g.u. vol.1 再誕 [welcome price]|SLPS-25756
.hack//g.u. vol.2 - reminisce|SLUS-21488
.hack//g.u. vol.2 君想フ声|SLPS-25655
.hack//g.u. vol.2 君想フ声 [playstation2 the best]|SLPS-73266
.hack//g.u. vol.3 - redemption|SLUS-21489
.hack//g.u. vol.3 歩くような速さで|SLPS-25656
.hack//g.u. vol.3 歩くような速さで [playstation2 the best]|SLPS-73267
.hack//g.u. volume 1 - rebirth - terminal disc|SLUS-21480
.hack//侵食汚染 vol.3|SLPS-25158
.hack//悪性変異 vol.2|SCPS-55042
.hack//感染拡大 vol.1|SCPS-55029
.hack//絶対包囲 vol.4|SLPS-25202
.hack//감염확대 vol.1|SLKA-25080
.hack//악성변이 vol.2|SLKA-25138
.hack//침식오염 vol.3|SLKA-25145
0 story (japan) (disc 1)|SLPM-65002
0 story (japan) (disc 2)|SLPM-65003
0 story (japan) (taikenban)|SLPM-60101
007 - agent under fire|SLES-50539
007 - agent under fire (europe) (en,fr,de,es,nl,sv)|SLES-50539
007 - agent under fire (korea)|SLPM-67505
007 - agent under fire (usa)|SLUS-20265
007 - everything or nothing|SLES-52005
007 - everything or nothing (europe) (demo)|SLED-52326
007 - everything or nothing (europe) (en,es,it,nl,sv)|SLES-52005
007 - everything or nothing (europe) (fr,de)|SLES-52046
007 - everything or nothing (japan)|SLPM-65446
007 - everything or nothing (korea)|SLKA-25129
007 - everything or nothing (usa)|SLUS-20751
007 - everything or nothing (usa) (demo)|SLUS-29095
007 - everything or nothing [demo]|SLED-52326
007 - from russia with love|SLES-53553
007 - from russia with love & need for speed most wanted & ssx on tour [demo]|SLED-53681
007 - from russia with love (europe) (demo)|SLED-53673
007 - from russia with love (europe) (en,fr,de,es,it,nl,sv)|SLES-53553
007 - from russia with love (usa)|SLUS-21282
007 - from russia with love (usa) (demo)|SLUS-29168
